name,dialogue
Phyllis,Which one’s Glee?
Andy,How could I have been more clear? He had a massive stroke of good fortune and he is now in a better place.
Phyllis,What don't you get?
Pam,"I did. And it's just one of those things that's going to keep gnawing at me, like ""gnaw, gnaw, why? Why didn't he? I have no idea why."""
Jim,Huh.
Darryl,Yes. I do remember saying something like that to you.
Dwight,"Oh no, that is too bad. Shoot."
Kevin,"""C"" is for suspension."
Michael,Maybe she hit me. You ever think of that? She hit me? I don't know whose fault it was. I wasn't exactly looking at the road.
Toby,Come on.
Michael,"Okay. Well...get ready, 'cause it's gonna get better."
Dwight,Believe it.
Pam,That sounds nice.
Dwight,"Black Bears can smell a salami at five miles Michael, what are you thinking?! And they run faster than a horse, so if you were thinking about outrunning one on a horse I would try a cheetah. You, in tight pants, Michael, are a salami to a Black Bear. Do you understand? You’re like a giant walking salami!"
Michael,"Well, in his infinite wisdom, David Wallace has authorized us to put on a little presentation about the history of Dunder Mifflin."
Dwight,"Hmm, doesn't seem like the type."
Pam,"No, it's, that's respectable."
Ryan,Exactly. This is your first complaint in ten years.
Jim,Jan.
Angela,Don't Meredith.
Oscar,My mom.
Jim,"No, I would like to get back to work, actually, please."
Dwight,That's a common swindlers trick.
Ryan,"Well you do a lot, so just don’t. Thank you. I know that I haven’t always treated you the way that you, for whatever reason, feel you deserve to be treated. But I want to marry you, Kelly Kapoor. Maybe not today, maybe not tomorrow, but someday, and probably."
Dwight,Aaaaaaaa!
Jim,Andrew.
Michael,"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know, you've made a profit... margin. You're gonna run us out of business, Pam."
Michael,"Oh, um, well, we could have Ryan take a look. Ryan, would you look after the purses, please?"
Stanley,Got an hour? I'll try to explain.
Jim,"You’re not in it at all, because you can’t be employee of the month, you’re a manager."
Michael,"Not what I was looking for, but a good thought."
Michael,Fine.
Michael,"She doesn’t need an internet presence, you just know."
Darryl,"Just a couple of grown, sexy-ass roommates."
Michael,They are into appearance. We are selling success.
Jim,Are you sure?
Andy,"It's like staring into my soul, when I look at this wall."
Pam,Aww.
Pam,"We did, but mostly because people expect us to. We're also accepting other gifts not on the registry... However much."
Andy,Yeah.
Michael,Daddy's here for you. My wittle angels. Ok. I think that I have figured a way to get you guys out of your funk.
Michael,"Really? You seriously said that? Okay. Brenda, could Jan and I have a moment alone?"
Michael,"Toby, Katy."
Dwight,Just... zip your lid! Another announcement. Michael wasted an enormous amount of the group's time and patience with non-work related ethnic celebrations and parades of soft-minded dogoodedness. No longer. No more meetings!
Andy,"Tuns, I’m really sorry. You’re too essential to the operation here, I can’t let you go."
Pam,Yeah.
Michael,"Oscar, here you go."
Andy,"Oh, Dwight. I have a little surprise for you."
Toby,I'm running this meeting.
Dwight,There is a tradition that the Hebrews have of hoisting the birthday boy up on a chair.
Creed,"No, no, no, no, no, no. I will forget so fast. You will be my savior. You're they guy who gave me my life back. Thank you. I knew you'd see it my way Michael. God Bless you. You're a fine man."
Dwight,"You're taking this out on me, but I was only the messenger."
Michael,A week? A month? A year?
Michael,I can't believe it's- I can't believe it's yogurt. Uh... it'll be fun
Pam,"Anyway, um… I miss you."
Michael,"That's not smart. And also, Chitty Chitty Bang Bang."
Dwight,"All right, well. Let’s get this show on the road, shall we? Allow me to give you a hand. Here we are. So long, clump-mate. I’m going to miss you. Truth be told, I never thought that this was how it was going to end. I always thought that I was going to defeat you somehow. But you’ve defeated yourself."
Jim,"Hi, David."
Dwight,I'll get my apprehension kit.
Pam,It's kind of an impoverished country.
Pam,Okay Ben Franklin!
Pam,Hey in there. It’s Pam. It’s not Dwight! Don’t think it’s Dwight!
Michael,Ok.
Jim,"Oh, cool."
Dwight,Wolves.
Andy,I swear on the graves of my parents who aren't even dead yet.
Darryl,"Mike, you can't do that. It's conflict of interest."
Andy,"Oh, my gosh! We're almost out of time. How much for another half hour?"
Darryl,Some freaky stuff going on. I was walking behind Gabe and I heard some things.
Dwight,Ok
Jim,"What are you doing? What, stop…"
Michael,Yes.
Dwight,Pam?
Michael,"Oh, OK."
Jim,"To be honest, I still can't believe he didn't call her back. Who doesn't call a dork like that back?"
Pam,Let's just calm down.
Jim,"Hey, what's that show that she's always talking about?"
Angela,Do you have to slaughter on our wedding day?
Pam,LetĂ˘â‚¬â„˘s call him.
Pam,Yep.
Dwight,"You think this is some kind of game? No, this is a war, and I will not stop, I will not rest. You have no idea what kind of enemy you've created. You have unleashed the wolf!"
Oscar,What was that? That was just a normal video with you making vulgar noises.
Phyllis,Michael... No.
Michael,"Okay, so no salami in the pants. How about a pepperoni?"
Michael,"I would give that lecture a solid B+. Although, for the record, Karen. Wow, kind of mean."
Stanley,I don't want to stay until seven again this year.
Dwight,Damn. I'll try Brookstone.
Michael,"Yes, that too, but I mean with the audio. Great work."
Jim,"Hey. So, we saw a new billboard."
Michael,"Really, well, it, uh, seemed very important to you earlier that you needed to stay and…"
Andy,"Are the ‘Nard’s hurting? Yeah, you bet. Got kicked pretty hard. Family shattered, super sad. But, I’m kinda crushing it in the damage control department. So, that’s cool. I wish my dad could see me now. Of course he caused this whole mess, so, him."
Pam,Sometimes there's a lot of time between the calls.
Dwight,Sly dog.
Michael,Tom. Then it is a joke because there is nobody in here named Tom.
Michael,"I will get out. Oh yes, I will."
Pam,I went out to look for a better office space.
Michael,"I think I'm a role model here. I think I garner people's respect. Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP."
Erin,Oh.
Michael,Yeah...
Jim,"Oh my God, that’s half-inch drywall."
Kevin,What about if I tell you the things I don't want?
Dwight,I didn't say anything
Michael,"Dwight, you gotta move!"
Oscar,No thank you.
Jim,Don't...
Michael,"Oh-oh. Oh-oh. A spy from the warehouse. Trying to figure out our plays, huh, man?"
Angela,"Seven, two…"
Jim,"Tom Witochkin. One of my best buddies, actually."
Pam,"Hello, hello. You’re breaking the law."
Jim,"Yeah, I'd say she's happy. I mean, she loves her classes. Loves the city. I mean, last night, she was out with her friends, till, like, 8:00 AM."
Jim,Oh... my apartment's on fire
Michael,Who.
Michael,Gardner! I knew that. There you go. Gift bag... for you. Okay.
Andy,"Come on, Judge Judy, tell us your case. What were the deets?"
Michael,It'll take like two seconds.
Andy,"Jim, this has your fingerprints all over it."
Andy,"Kelly, remember how you wanted to go home before?"
Andy,No. They did. And they asked me to ask about it.
Dwight,"Establish time frames. Keep the phrase ""real dollars"" in their head. And always keep the power in the conversation. That's why you're losing them on the cold calls. Cause you say the word please too much."
Michael,"No. No, Pam. I'm baaaaaack! For gooood! Kevin Nealon."
Jim,"Listen, this isn’t a favor, all right? This is a good idea. We all win."
Michael,"Oh, hey, Toby. So... It's an analogy."
Erin,Oh.
Jim,"I can have it to you by the beginning of next week. Alright? Thanks very much. Uh, Phyllis! Bracken Auto?"
Jim,Good game. You are a worthy opponent. You wanna play one more?
Michael,To the right?
Pam,Hey. How you doing?
Jim,All right.
Pam,"I'm gonna to miss Toby. He has a nice, calming presence in the office."
Pam,I'm going to say it anyway.
Andy,Oh D!
Michael,Really? Here we go! Buckle up. It’s going to be a bumpy one!
Dwight,Okay---
Michael,This thing with Holly feels a lot like love to me.
Pam,I think you guys all remember my mom from the wedding.
Dwight,"Excuse me, people. It has come to my attention, some of you have forgotten, who is in charge here. When Michael is gone... Jim is in charge. When Jim is gone, Andy and I are in charge. When Andy is gone you answer to me. Okay? Excuse me where do you think you're going? Oh no, no, no. You're not leaving. No! Stanley, do not walk out that door! If you walk out that door, so help me, I will - He left. Last time I checked, the American workday ends at five pm. You will all stay at your desks until that time. Or, you will suffer the consequences."
Oscar,"Andy, something is wrong with that woman."
Dwight,What is it?
Michael,"Yes? Oh Pam, that is so sweet. You didn't have to do that."
Dwight,"Oh, that's perfect!"
Michael,"I know, I know."
Ryan,I found a copy of it in the copier tray.
Andy,My nanny used to wear that.
Darryl,Hey.
Dwight,"Good, we have a deal?"
Dwight,"What? It's a casual, social outfit."
Jim,"Well, you were surprisingly restrained."
Toby,"Well, you know how everyone fast forwards through ads these days? Well, what about an ad in slow motion. You know, if they fast forward through it, it'll just seem normal and it will catch your eye. Plus, uh, the slogan could be: Dunder Mifflin, we adapt to the pace of your business."
Phyllis,Ryan.
Michael,"They were very disrespectful to me, and to the office. And Martin has had a bad influence, to think that I gave him the benefit of the doubt."
Jim,"No, no. If it’s a big deal, it’s a big deal."
Darryl,Thank you.
Dwight,"No! Michael, no!"
Andy,Aah! This ones hot too!
Michael,"I hate disappointing just one person. And I really hate disappointing everyone. But I love Burlington Coat Factory. You go in there with $645, you are literally a king."
Pam,Flooded.
Pam,If you sit in the back.
Phyllis,"Then you need to give her an ultimatum. Tell her she needs to make a choice. You or Andy. If she pick you, great. If not, you can move on."
Andy,"Gentleman please. We called this meeting. Andrew Bernard is the name of me. And this is my associate, Mr. Kevin Malone."
Erin,Kelly has an eating disorder?
Michael,Just wanted to draw a picture of him.
Dwight,You’re being disrespectful!
Andy,"Um, nerthing?"
Michael,Yeah.
Darryl,Song's about truth.
Oscar,"Pam, I think I’m going to send you an IM."
Michael,"Well, this..."
Angela,No one cares about your birthday. Kevin's waiting to hear if he has skin cancer.
Andy,I know who did this….Dwight.
Pam,"Aw, Dwight. That’s really sweet."
Darryl,Can’t do what?
Michael,"Oh, Pamcake. No, no, no. We would love your extra poundage, but you are going to be leaving us next week, so vamoose. Vamoose, Pam. Dunder Mifflin family only."
Andy,"Anyone who’s not going, you’re dead to me. You’re uninvited. I don’t want you to come. But, FYI, there will be leftover turkey and pesto sammies in the fridge."
Erin,Orville Tootenbacher. That’s Michael’s millionaire character that…
Jim,"I seem to have sticky not emergency where I grab it on the wrong end, and this happens."
Michael,"I have made this spear, with which I will impale my dinner. And it couldn’t come a moment too soon because I have been without food for a good three hours or so. I’m startin’ to feel it a little bit. Ohh… It’s Creed’s birthday. Happy Birthday to you. Happy Birthday to you. Happy Birthday to Creed. Happy Birthday to you. Happy birthday, buddy."
Michael,Let's... be... rational... here. What are the pros? What are the cons?
Pam,Sounds like it.
Ryan,"I was just back there, to make some cup-o-soup; the thing is still a huge mess."
Michael,"Shhh hot, why didn’t you get an air-condition— should have gotten an air-conditioner for yourself."
Angela,Bless you.
Michael,Yeah …
Michael,"I know, it's..."
Dwight,Absolutely... not.
Andy,You were?
Pam,It's like mommy and daddy are fighting. Except mommy outranks daddy and mommy is way scarier.
Jim,"Oh, here’s one. Did I ever tell you about the time that my brothers videotaped the lottery announcement? And bought the winning numbers the next day? And then, played the tape for me the next week, and I-"
Dwight,"Yes, I have a wig for every single person in the office. You never know when your gonna need to bear a passing resemblance to someone."
Dwight,How’s the family?
Dwight,"Yeah, I do. 'Cause justice never rests."
Creed,Hey!
Andy,Sha-bow.
Jim,Okay.
Michael,"Guess who just ordered from your favorite pizza place, Alfredo?"
Jim,"Okay, I think everybody just needs to relax."
Andy,Hey there young lady.
Jim,"I don’t know, we’ll figure somethin’ out."
Michael,"Okay, let me try this one. Hi Pam, how are you?"
Darryl,Exactly like this.
Dwight,Let’s do it! Ready? Here’s a box cutter to get her clothes off.
Pam,"Oh, great! Yeah, um, I’ll get right back to you. Hey guys! Anyone ever heard of Iris Black on the radio?"
Andy,You think I can do better?
Darryl,Happy hour. My pleasure.
Andy,"You were man enough to back down Michael, I'm proud of you."
Andy,You mean a moon bounce.
Pam,OK.
Erin,"Well, we’re doing it. We’re finally having a picnic on the boat."
Jim,"I started biking into work. Josh does it and he lives a lot farther away than I do. And also it saves gas money, keeps me in shape… helps the environment. And now I know it makes me really sweaty for work."
Dwight,"Oh, this is your cell, I thought this was your..."
Stanley,They said I should talk to you.
Dwight,"So much of this is just impossible to verify. Item five, point “B”, uh… the beet juice cleanse?"
Dwight,"Hey, what are you listening to?"
Erin,Okay. Okay. Is that too cold?
Ryan,I don't think you understand how jeopardy works.
Dwight,Oh. I took the liberty of putting it in your trunk.
Michael,I want to see it.
Michael,"I found that in the waiting room at the dentist’s office. This kid had the magazine I wanted to read, that’s the only one I could reach and I read it and then I read it again."
Jim,No I'm not.
Andy,"How did I just abandon my dreams so quickly? It’s cause I had a fallback. That’s the problem. When you have fallbacks, it’s just easy to give up. When Cortez landed in Mexico, only way he got his men to defeat the Aztecs was by burning all of his own boats. So they could never return home. Huge dick move but very effective. I need to be that same kind of dick to myself."
Michael,I won't sell. And you know what? Ryan and I have the majority of shares. Isn't that right?
Kevin,Hey…
Michael,"That was-okay, you make one mistake in fifteen years and you drag me over the coals, after everything I did for you?"
Dwight,Got it. To Dwight. Wha-- Starbucks gift card.
Dwight,"On your marks, get set..."
Erin,"Ă‚Â Dwight is having maintenance done on the elevator today, and he was really on top of it. Weeks ago, he started the Stairmageddon Awareness campaign. The idea was to get us prepared, both mentally and physically, for a day that hopefully comes once in a 100 years. ItĂ˘â‚¬â„˘s aĂ˘â‚¬Â¦ Ă˘â‚¬Ĺ“Mageddon!Ă˘â‚¬Âť"
Michael,"...make much of out of it, Creed. Good luck to you. I don't know. It is a defective ax, my friend."
Pam,Nice.
Dwight,I think I’ve got one for you.
Michael,"Don't! Nope! Please, don't want to spoil it for anybody. Spoil the surprise."
Michael,I don't want to do that. All right. She is going to freak out!
Michael,All right.
Pam,"Oh, yeah. I’m more than alright. There’s just nothing to celebrate."
Michael,No!
Jim,"That's sad. Or it's innovative. Well, you know the futon is a bed and couch all rolled into one."
Michael,Thank you. Would you like some french toast?
Creed,Just pretend like we’re talking until the cops leave.
Michael,"I know. I can't believe it was you, either. I actually think it takes a lot of pressure off of me."
Jim,"Well, we all handle it differently. I personally choose to handle it like a normal person, but..."
Michael,"Well, then it wouldn’t be the first time I stole something away from Coach Shane."
Ryan,"Doctor appointment, car trouble, plantar warts, granddad fought in World War II. Use your head, man. I keep mine in here. Look alive, Halpert. Welcome back."
Jim,"Right to voicemail. Hey, Ryan, it's Jim. You know what? Totally disregard that last voicemail, because you obviously have your hands tied. Good luck!"
Erin,Oh.
Pam,Yes.
Michael,How about a location?
Michael,"Hey, girls. What's happening? Startinng to blend? Well, before long, you guys keep hanging out, you guys you are gonna share the same menstrual cycle."
Angela,I guess.
Dwight,"Numerous health benefits, strengthens your back, better performance in sports, more enjoyable sex."
Darryl,Sure.
Pam,"No, wait. Hey, while you are out, could pick up some paper towels and chocolate syrup? We have ice cream so I thought…"
Michael,"Well, it's not official."
Andy,Yes! Cash basket! Nice work Tuna.
Ryan,"Oh, my God."
Stanley,Raaah!
Dwight,"Uh, no, no. No, I think something bad, maybe."
Michael,"Should I... turn, no. Do it again."
Pam,Thanks.
Pam,Michael?
Oscar,"Michael, this is a presentation tool."
Andy,Thank you.
Jim,I said I was working on it.
Dwight,Do you know what this is?
Dwight,"Oh, little help. Wow your hair is really thinning."
Jim,Okay?
Andy,You’re four seasons in a day. You… got the Autumn thing going on. But if you put on ba- Put if you put on a blue… It’s Spring Time in the Rockies!
Erin,Hi.
Michael,You never know about the press.
Kelly,"Right, so?"
Jim,"Oh my God, you do have gonorrhea."
Michael,"No, here's the thing. Y'know I do my best to be my own man and go by the beat of a different drummer and nobody gets me, and they're always putting up walls and I'm always tearing 'em down, just breakin' down barriers, that's what I do all day. So a coffee, regular coffee for you. High test, or unleaded?"
Stanley,Can't say.
Kelly,I don’t really know why you’re screaming at me right now.
Angela,"I don’t know, but standing here’s not going to give you the answer. Go."
Michael,"Uh, okay."
Michael,I mean you can tell.
Michael,"No, no, I can do this."
Michael,"Yeah, well, bladdy-bluda-blah-blah. Techno-babble. Just do it, okay. We have company. Right?"
Andy,And your affiliation with Cornell -
Toby,"I am on the wrong side, and I am freaking out here."
Dwight,"I got it. When my mother was pregnant with me, they did an ultrasound and found she was having twins. When they did another ultrasound a few weeks later, they discovered, that I had resorbed the other fetus. Do I regret this? No. I believe his tissue has made me stronger. I now have the strength of a grown man and a little baby."
Michael,"Okay, am I grabbing this one?"
Dwight,No. It was awful. I couldn't hear anything.
Kevin,"Uh guys, I'm now going to apologize for the mess that we're in because corporate told me to. I just want you to know that I laugh like a crazy person."
Phyllis,But I won't be able to do inventory without it.
Darryl,Still no plan.
Ryan,Yeah!
Michael,"Dwight, you saw Darryl move it, right?"
Meredith,Be gentle Jakey. Gentle. One second. Just one second. Look.
Dwight,I love that show.
Oscar,Alright. Alright I get it.
Dwight,"Well, uh, another option."
Ryan,I’d die for you too.
Michael,"I hate shushing. You know, that's the thing! What the... ok... what is our beef as human men."
Michael,"Pro for Ryan, he went to business school, he's my number one choice."
Michael,Well-
Michael,"…all fixtures included. Yes, this is… This is looking good."
Jim,It was.
Erin,Gabe?
Jim,"David, I know that I'm very new at this, but I have a very good perspective on how things work."
Pam,"Yes, I said you definitely should go, but you wanted to visit me instead."
Michael,"Ah, great. No further questions."
Darryl,That’s regular text talk.
Pam,"Oh, wow, thank you!"
Michael,All right.
Meredith,Surprise.
Michael,Smells good.
Michael,"Per-diem. Perrrr-diiiiieeeemmmm! You know, Ryan, it's all about the Benjamins."
Michael,Yeah.
Dwight,I thought your vagina was removed during your hysterectomy?
Michael,So... we all agree to get new chairs then. Good?
Andy,"I didn’t know it’s powdered, so like four or five, I don’t know."
Phyllis,Her hair looks beautiful.
Michael,"You know what, Dwight, do you want to do this, or no?"
Michael,"Well, I am starting it again!"
Dwight,Have you been introduced to Kevin?
Dwight,On an innocent baby.
Jim,Why?
Pam,"So we shouldn’t help you, no matter how much you might beg and plead?"
Kelly,"Oh my God, I'm so worried."
Darryl,Good morning.
Pam,Look at her. Even I want some fries with that shake.
Pam,"Michael, it’s Ryan for you."
Michael,Well I think we're past that now.
Toby,Jan told me just a few minutes before she told you.
Andy,You guys…
Jim,Second.
Andy,"Yeah. C-SPAN, cocker spaniel. Spaniel because of your Spanish bloodline and cocker cause‚ ‚"
Oscar,"Angela's divorce from the senator has been very difficult for her. When she got kicked out of her apartment, I invited her to move in with me. Ironic that it's Angela who's living in the closet. Hey-o."
Michael,I am your big daddy and I am gonna kiss da boo boo.
Ryan,"Yeah, totally."
Jim,"Oh, hey, Mee-Maw, would you watch Cece for a second? Don't worry. She's asleep. I'm just gonna track down some more chairs."
Jim,"Here's the thing. What I wish for you is that you land a job at a company that A, exists, and B, has a salary. Because they're set up to do that kind of thing."
Michael,Oh.
Dwight,Sign it.
Pam,This is over.
Michael,"Right, Yes, yeah. Best friend/mentor."
Michael,This is going to be a very good year. Very good. Jan is at home. Jim is back. My protege Ryan is at corporate. Good stuff. Um... Andy and Dwight are rockin' the sales team. I feel very blessed.
Ryan,He takes what he wants.
Michael,"But you’re the best salesman, on the inside."
Jim,Five.
Phyllis,"Well, this could be fun. I-"
Angela,I hate those two people more than anything in the entire world.
Jim,Umm...
Pam,What’s up?
Michael,Hey.
Michael,"What’s your problem man? Gah, just clocking me for no reason?"
Michael,"It is not your business, Dwight."
Andy,Yeah.
Michael,That is not the way I heard it.
Jim,Okay.
Ryan,Never gets old.
Ryan,"Oh God, Nellie! What wasn’t his? I mean, um, “Tracks of my Tears”?"
Pam,"No Dwight, not the good peanut butter. People are going to get mad."
Pam,I was helping Nellie drive—
Andy,This is the hardest thing I've ever had to do in my entire life. I haven't had a very hard life.
Pam,You said come in!
Andy,Fifty-two reams!
Pam,Thank you.
Pam,You were so dorky!
Dwight,"I wanted to thank you... for helping me, when you held the title, Secret Assistant to the Regional Manager. You served the office with great dignity."
Dwight,No. She needs her rest again.
Michael,"Excuse me, everyone. Attention please. Kevin, we're going to take you to a very special place, a place that will make you happy, and a place that is far, far away from the evil sun."
Pam,"No, I should probably go too."
Pam,Yeah.
Michael,Wikipedia.
Jim,"Honestly, I don’t mind. Did you want me to wash it for you or…"
Erin,Oh that’s Andy. He’s just hanging out
Creed,You think?
Jim,Which means absolutely nothing.
Dwight,"It's 'For the Longest Time,' by William Joel. It's you favorite song."
Kevin,"Oh, I’ll take ’em."
Michael,"No way. No way. Pam Beesley. Hello. Hey, everybody look, Pam. Pam, say hi. Say hi to Pam. Don't we all look skinny? Oh, oh, almost dropped you!"
Jim,"Uh, Kitchen."
Kevin,Hmm...
Michael,"Do I feel badly, that nobody out there was invited to a party that I was invited to? Not at all. Because they have to know that if they work hard and apply themselves, someday, they could be invited to a party like this. Of course, at that point, I will be going to much better parties that they will not be able to get into. What are you gonna do?"
Pam,"Listen our credit card has been cancelled and we have to deal with that, and I really can't handle the fact that you're calling us here!"
Jim,Dwight!
Angela,"Rachel, are you all right?"
Andy,Yeah. Right.
Dwight,"That's politics baby. Get what you can out of someone, then crush them. I think Jim might have learned a very valuable lesson."
Jim,": Man, I wish I was there to see his face when he gets to the end …"
Ryan,Ah.
Meredith,SHUT UP ANGELA!
Jim,"Wow, what are we talking about?"
Angela,"Isn├óŌé¼Ōäót it amazing, the difference in our sizes?"
Pam,You had to be there.
Dwight,"No. Please. Come on, Clark. Wallace knows that he’s been gone for the last three months. Right? Wallace does know that you’ve been gone for the last three months?"
Jim,Allergy to… the desk?
Dwight,Shut up.
Michael,"What, um... what do you think of role-play?"
Pam,"Ok, um, why don't we just finish the game? Michael, it's your shot."
Michael,"Since you did such a good job with the investigation, I decided to pull a few strings. Call in a few favors. and I’ve decided to make you official security supervisor of the branch."
Andy,There are two things that I am passionate about. Recycling and revenge.
Jim,Oh boy.
Pam,Yeah.
Dwight,"Oh please, anyone can tie a knot, the real skill is in untying it"
Michael,Try 80.
Dwight,"OK, excuse me. I am the landlord. This is between me and the management, no one else. Please."
Andy,Night.
Erin,When you lost the manager job-
Jim,"Oh, hi."
Pam,"Creed, I’m all done. My turn."
Kelly,He told everybody so I just want to know is that a baseball term...
Angela,"Yeah, instead of Hay Place, it should be pay place. Don't laugh at me."
Michael,What's the problem?
Jim,Nope.
Pam,A piece of paper.
Andy,Nnnnya.
Pam,I kind of am. It's crazy.
Kevin,"With what? How? Sometimes, Michael. Sometimes."
Erin,"It’s no wonder that Andy gave Kelly such a romantic card. I can’t compete with her. That girl can sing, and dance, and gets all of her clothes at the mall. And I feel like such a fool for thinking that Andy was only going after one girl, cause Andy Bernard is a playboy. And, why shouldn’t he be? He’s got it all."
Andy,I don’t think so.
Jim,"Well, I'm not actually making a formal complaint. I just really think we should talk about it."
Michael,"Okay, bye. Bye. All right, bye. Bye… bye."
Michael,I hope you're not recording this conversation. Good. I cannot believe that you sided with Charles.
Dwight,Oscar is out sick.
Erin,He answers to Michal. Michal G. Scott. Michael J. Fox. Mr. Fox. The Incredible Mr. Fox.
Kelly,"Um, if I'm out, I'm going to sue this ENTIRE COMPANY for discrimination."
Andy,"Angela, are you hearing words that I’m saying?"
Pam,Yeah. Do you think she’s hot?
Erin,So Andy just called you up out of the blue?
Angela,I tried. We didn't have time.
Andy,Hey.
Dwight,Uh oh…
Jim,"All right! I'm not sure what I'm supposed to be doing, but..."
Michael,"And prison. Eh, fifty-fifty, both. Look, prison stinks, is what I’m saying. It’s not like you can go home, and, recharge your batteries, and come back in the morning and, be with your friends, having fun in the office."
Dwight,"Excuse me, that is no way to address a superior."
Michael,You down with the Dundies?
Jim,"Dwight, I really think someone's probably just playing a prank on you, so just go right through it."
Andy,Yo. I got the Nard-puppy for ya. What’s going on here?
Dwight,And I was thinking it's only fair that you help make this decision since they'll be sitting at your desk next to your wife.
Michael,You know when people say getting fired was the best thing that ever happened to them? I feel sorry for those people. That’s the best thing? Really? Ugh.
Michael,"Oh, wow! What did you do?"
Erin,"Staples? Uh, David Wallace called."
Dwight,What does it look like?
Angela,I’ll just have some bread. You used your hands.
Dwight,Then you know what? I’m just gonna have to run right through you.
Toby,Hello! Hello!
Pam,You headed out?
Kevin,"No guys, stop! You have to sell me cookies. I’ll do anything. I’m even gonna kiss Meredith. That is… hmph… that’s ah… so good."
Ryan,I love it.
Dwight,This is a bus transfer.
Angela,Extension 128.
Kelly,Hi-yah!
Oscar,Everything OK?
Phyllis,Andy sings beautifully. And he’s really good at dancing. He’s a good speaker. But there’s just something there you don’t want to look at.
Ryan,"Today, I was thinking I would sit down with a few of the people who haven't invested yet."
Michael,"I can’t take you, I don’t have my car and yours is all vomity."
Michael,"Ok, you know what? I made a mistake. I committed corporate punishment. My bad. It's over. It's done. But my punishment is ... um ... worse than hell."
Meredith,"Yeah right. With slamminĂ˘â‚¬â„˘ bods like that, they ainĂ˘â‚¬â„˘t playing checkers."
Ryan,"It’s not broken, Kevin. This is how it works."
Dwight,Ryan? What does he know?
Pam,"Did you have a lot of sugar today, Michael?"
Jim,"No, thanks."
Stanley,Will Lady Fortune give me a raise?
Pam,... We're dating.
Michael,"It had to be done, it had to be done."
Dwight,"Sales is about people, Ryan. About understanding them and learning how to get along with them. Case study: me. To understand me, you have to know that I work in the city, but I live here on this small, beautiful farm. It's a family farm. Many Schrutes were born here and many of us end up here. My grandfather was a good man who did some very bad things. What the... Damn it! Those kids! You! You, get out of here! This is not a cheap motel! This is a farm and cemetery! Freaks! You're lucky I don't have my crossbow! Let me show you the compost pile."
Pam,"Hahhh, thanks for everything."
Dwight,Oh. Come to reason with me?
Michael,"Yes, yeah, absolutely. Have a seat."
Angela,Sign.
Pam,Great.
Pam,But...
Jim,What a great year for the Dundies.
Phyllis,Yes.
Dwight,Professor Copperfield's Miracle Legumes?
Michael,Special delivery for Dwight K. Schrute.
Dwight,"Evening, Angela. This is craps. I need to roll an eight. If I do, everyone wins."
Michael,Any emails today?
Dwight,"Come on, I already filled the bottles with the gas, it's going to be so badass."
Darryl,"It’s not a scratch-and-sniff, Kev."
Dwight,OK you are useless.
Andy,I heard it from Erin.
