name,dialogue
Michael,"Wow! Wow, I am blown away by this. I, um... I--ah! This is great, thank you!"
Ryan,Robert I hate to interrupt. But I would love to pitch you one last idea. I call it the Big Mac idea.
Michael,"And you walk up toward the castle, and inside the castle are 4 men, and each of them, none of them have shoes, and they give you a funny cigarette, and you feel even more relaxed, and then you want ice cream. You want a big bowl of ice cream. What kind do you want? Shout it out."
Michael,"Pam, when I first opened this catalog, I thought I was just going to be picking out a chair."
Dwight,People!
Michael,"Oohh... can you imagine how much blood there was? If it happened right here, it would reach all the way to reception. Probably get on Pam."
Jim,Mm-hmm.
Dwight,Surprise! Everybody!
Dwight,Yes.
Michael,"The worst thing about prison was the… was the Dementors. They… were flying all over the place, and they were scary. And they’d come down, and they’d suck the soul out of your body, and it hurt!"
Erin,Ahh!
Pam,No.
Andy,"Okay, all right, all right, all right."
Michael,"Okay, this is the moment that you have all been waiting for. Our first item up for bids tonight is something that I consider to be very boss indeed. It is a Yoga lesson from Holly Flax! Yoga! And I would like to start the bidding off at 300 dollars. 300 dollars do I hear 300 dollars? 300 dollars. Hey, batter batter batter, hey batter, swing batter, 300 dollars, 300 dollars, 300 dollars. Anybody, 300 dollars. 400 dollars. Who wants for 400- Do I see somebody in the back? Is there somebody in the back? Do I see somebody in the back? 400-450 Sold! For 300 dollars to me! What the hell is that?"
Jim,"Ah, show me how this works."
Pam,He's one of our salesmen.
Michael,"No, no, no... no, no..."
Andy,Yeah.
Angela,"Good luck, Dwight."
Pam,"Oh, we don't recycle."
Jim,Hey.
Erin,"Aw, cute! So there’ll be a bunch of kids."
Michael,"I know, what you did. I made the whole thing up, Dwight."
Meredith,Pam failed art school.
Creed,Let's fight it.
Pam,"Hey, I'm the one who has to sit next to this weirdo when Jim's away. I'm in a position where I'm rooting for Nate, and that just feels wrong. Forget it. I need to work on my mural. I have some pointy trees that I need to round off."
Andy,Where are we in the process?
Oscar,Please. ItĂ˘â‚¬â„˘s Robert whoĂ˘â‚¬â„˘s enjoying it.
Andy,One for you.
Pam,Who is it?
Pam,Hmm.
Dwight,What does it look like?
Jim,"Wait a second. You know you can't buy that now, right? And I can come back and get it for you later. But I'm saying right now, we can't do that."
Pam,"I know it’s wrong to fake going into labor just to get out of things, but sometimes it’s necessary."
Jim,"Ever since I was a little kid, like, eight or nine, I could sort of control things with my mind."
Dwight,Am I nomadic?
Michael,"Yeah, you know what, that actually might make me feel better. I’m not in this for the trophies, but…"
Jim,"And then tomorrow, I can tell you… what a great boss, you turned out to be. The best boss I ever had."
Meredith,Maybe it wasn’t.
Angela,Okay.
Phyllis,"Andy, did you call this meeting just to talk junk about our families?"
Pam,That's ok. It's ok.
Michael,I wanted to know what your plans for lunch were because I was hoping to ask you to... lunch.
Dwight,Yeah!
Michael,... proud.
Andy,Ehh.
Michael,"Let go, please. Just gimmee –"
Michael,She sits there all day.
Pam,Ok I think animals and proposals are out. Right Ryan didn't you read in one of your blogs that animals are out?
Michael,Come... Come on!
Michael,"Okay, okay. Um..."
Kevin,"Oh, say nothing. You will learn to love me."
Michael,Yes?
Kevin,Is it black? ‘Cause that would be hilarious.
Angela,The senator.
Michael,"Good, that is what's most important."
Pam,We haven't set a date.
Dwight,At what time?
Michael,"This is going out to Indians everywhere. It’s a tribute to one of the greats… Mr. Adam Sandler. Diwali is a festival of lights. Let me tell you something. Tonight has been one crazy night. So put on your saris, it’s time to celebrate Diwali. Everybody looks so jolly. But it’s not Christmas, it’s Diwali. The goddess of destruction Kali stopped by to celebrate Diwali. Don’t invite any zombies to a celebration of Diwali. Along came Polly to have some fun at Diwali. If you’re Indian and you love to party, have a happy, happy, happy, happy Diwali. Happy Diwali!"
Jim,I think you mean The Sting.
Dwight,"Wallace is letting me hire a junior sales associate to sit at Jim's desk while he's away in Philly. Finally I'll have someone at my desk clump who gets me. It's like, “Really, Jim? You don't understand the difference between a slaughterhouse and a rendering plant? Uh, remind me not to lend you any dead cows or horses.” Wow."
Michael,This was no act of God. A person did this. A person who works in this office. Maybe all of them.
Dwight,"Uh, yes you are. I'm Assistant Regional Manager."
Michael,"Right, I have a coupon, so half of sixty-three fifty, and half the tip of sixty-three fifty."
Andy,Which is the best part. That means you will be my first customer and your business will get 100% of my attention. Now√¢‚Ç¨¬¶ I have written down my personal phone number. You call this anytime.
Stanley,"That is ridiculous. Of course not, why would you think that?"
Michael,"I'm good. How are you, Janet? It's good to see you."
Erin,"Got it. Oh, Oscar. Oscar?"
Andy,"Well, that went pretty well."
Jim,How's that gonna help you?
Michael,Close the door. This is your fault.
Jim,What about you?
Michael,Look at this stuff. Market fragments. What is that supposed to be?
Michael,We should look into that. Or we just go for the loft.
Andy,"Robert, do you wanna smoke pipes during our meeting?"
Jim,"What? Yeah, right. As if."
Michael,Your dentist's name is Crentist.
Michael,Something is wrong with you.
Dwight,I just don't get it.
Jim,"Okay, what was this look?"
Jim,Ha ha ha.
Stanley,Ninety nine cases..yeah.
Andy,I'm... I'm asking you out.
Andy,One. Two. Three. Shot!
Michael,Well-
Jim,No.
Stanley,There was a car.
Michael,Uh…
Dwight,(Bleep)
Michael,OH GOD!
Pam,"Oh, I made us a date to take my mom out to dinner to thank her for all that extra babysitting."
Michael,No.
Pam,About when you want to give me more of your money?
Michael,Oh hey! Good for you. Good for you. Scranton power. Alright you know what? Angela I’d like you to come into my office in ten minutes. Bring something to write with and something to write on. Good.
Angela,What?
Jim,I'm not gonna let you stop me from thinking.
Jim,Sounds like someone's really trying to convince us that he's not the Scranton Strangler.
Andy,
Dwight,Hmm.
Andy,"Ehhh no, I was just walking by your desk. I saw some email. I got peepers of an eagle."
Toby,"No, No, No. No, I’m just curious if you’ve heard of it."
Angela,"Gosh, she drank so much. And so quickly."
Michael,"Absolutely. Oh, and you know what, Darryl? You are invited to go as well."
Michael,Stop...
Dwight,Are you enjoying your vegetarian noodles?
Pam,"I’m not gonna lie to her, either."
Jim,Gotcha. Alright.
Phyllis,We've been out here for a while. I don't need this.
Darryl,That there's a woman's suit.
Michael,"Hi, Jan!"
Kelly,I hope we can still be friends. Can I have a hug?
Michael,Okay… that’s…
Pam,"Michael, you did all this?"
Michael,How’s everybody doing today?
Michael,"I love ladies, always have. And you know what I think is the most attractive part of a woman’s body? The brains. Because I don’t think a woman is beautiful unless she is smart. And also, the brains are where the ladies get their best nasty ideas for bedroom stuff."
Jim,"Yeah, I am. Wait, how do you know that? I didn’t tell you that."
Andy,What are you…
Kevin,"Oh, that would be impressive… if anyone knew what a comptroller was."
Ryan,What's up Facebook?
Michael,"...You can take a five, if you want."
Dwight,Heh! Ha!
Dwight,"Well, things between me and Clark are good, but not great. In fact, I will say that they’re not even good. Really, they’re bad. Like you and your son."
Michael,It…
Pam,What are the themes?
Michael,I’m not giving that to you.
Michael,You down with the Dundies?
Dwight,"You're right, forget horse hunting. It's stupid."
Phyllis,What are you doing?
Michael,"No, There are people all over the world, who have all sorts of problems and afflictions, and diseases. They're deformed, and they're abnormal, and... they're illiterate and ugly. Symphonies don't have any money. Public TV is bust. I can't do anything about it, I can't... you know. There's just one of me, and there's a thousand of them. And rabies wins."
Michael,There ya go. Nice steaming cup o'joe.
Phyllis,"No, but he wasn't qualified for the job he has now, and he got that one."
Creed,
Meredith,"No I’m not, I’m gonna sell it on Ebay! No no no, you be careful. Be careful."
Jim,"Love me, love me, say that you love me, fool me, fool me,"
Andy,Did you even hear the music I just played for you?
Jim,"“Hey, Pickles, Merry Christmas. Open immediately. Love, Swiss Cheese.” Damn it, Dwight!"
Andy,"David Walrus, in his native habitat."
Pam,I’m really in labor! This is happening!
Kevin,
Jim,"God, I don't even, I don't even know how to explain this. Uh, um... Dwight, uh, asked me to be in an alliance. And then um... um... we were... we've just been messing with him. Uh, because of the whole alliance thing. Um..."
Andy,"Oh, look at that. They sure do. I hadn’t noticed."
Dwight,No.
Pam,I didn’t tell you about the crying because I didn’t want you to know how upset I was. Because it would’ve stressed you out and you’re always saying how much you don’t want more stress.
Ryan,Kelly's helping?
Erin,Good. We don’t need her.
Jim,"Marijuana is a memory loss drug, so maybe you just don’t remember."
Michael,I know. It's ju- they didn't have any more businessmen. So...
Jim,"Yeah, well, with you it's different, okay? Cause I just- I just suck. I just- I suck!"
Michael,"Well, he is."
Dwight,"Ok. Well, gosh. Thank you for your help today. Your perspective was very useful. Thank you."
Michael,Just…
Michael,Pam.
Jim,"Hey, Kelly, it's Jim."
Jim,"Beesly, are you threatening me?"
Toby,"Yeah, Michael asked about it once. I just pretended not to hear him. He left."
Jim,I'm gonna get a second opinion.
Pam,You have to tell them.
Jim,"Careful... Wow, she just shoves the nipple right in there."
Dwight,I’ll order you some cranberry juice.
Andy,And where did you go?
Erin,"After his last breakup, he ate 40,000 calories in three hours. Right, Pam? That’s what Pam told me."
Kevin,Packer said it.
Michael,...Absolutely not.
Jim,I’m so sorry for all of this.
Michael,"Nobody likes to be flashed. When Meredith flashed me at that Christmas party, I nearly vomited."
Pam,"I know, because you’re the reason we’re moving."
Erin,"Well, Andy, I’m not coming back."
Angela,How would you support the cat? What are your ambitions?
Dwight,"No, Jan! Please do not listen to this boob! Remember Clark. He gave you everything. Everything."
Pam,Lunch with a girl from my hall.
Michael,I'm just getting hardcore with him.
Michael,"We Don't? Well, why have I been separating the trash into whites and colors?"
Oscar,I think you know.
Andy,Yeah!
Darryl,I find you absolutely ribbiting!
Kelly,"Well, you came to the right person. You have to follow your intuition, Pam. You don’t want to end up like Elin Nordegren. Actually, what am I saying, you wish you had her life- no offense, Pam."
Andy,"Best ad ever. Gimme a break, gimme a break, break me off a piece of that... I am totally blanking. What is the thing?"
Michael,You're welcome.
Michael,There. I'm doing it. Right there. Great.
Michael,Come on Stanley. You're losing you. You're losing you. Do it!
Angela,Sounds fun.
Michael,"No, no, no, no, no-no, no no. You completely misinterpreted my tone, this is a horrible thing. Clearly, Karen is trying to get back at us because Jim dumped her."
Michael,What's that?
Andy,No.
Angela,"Okay. Well, have a good trip. Good luck, Andy."
Phyllis,"This isn't a game, you know? It's our livelihood!"
Dwight,Yeah. We shoulda brought Andy. I cut a chunk out of my penis for nothing.
Jim,"That's the best part. That represents a pillow, or a television."
Darryl,"Apparently we have a visitor. Gabe, everyone."
Stanley,"I always knew my co-workers were annoying. I never realized I could profit from it. Go ahead Bob Vance, call Phyllis, all day."
Stanley,I know how to plug something in.
Oscar,Actually it is the northernmost.
Dwight,You’re twenty minutes late!
Andy,No. Not that I see here.
Michael,You are so brave. You are so brave.
Erin,There you are. Dillinger Graphics said their shipment is late.
Jim,Gravel company?
Michael,Just wanted to draw a picture of him.
Michael,"I did say I would, but I was wrong. I can’t stop. You don’t what it is like to love a woman and have her love you back. It is a feeling that cannot and will not, and frankly, cannot be contained."
Dwight,"OK, can we steer away from gay people?"
Stanley,Of course.
Ryan,What?
Michael,"Hello Wendy, this is Kevin's friend, Michael."
Erin,"I really wanna have fun today because tomorrow is going to be a nightmare. Andy’s coming back from his stupid, dumb boat trip. He’s been rude. He’s been selfish. I think he’s a big jerk. And I’m breaking up with him. Bam, Andy! How do you like me now?… I hope as a friend."
Michael,"Hmm? No, there were a lot of people booing you. I wasn't one of em."
Dwight,"In the wild, there is no health care. In the wild, health care is, ""Ow, I hurt my leg. I can't run. A lion eats me and I'm dead."" Well, I'm not dead. I'm the lion. You're dead."
Michael,How did you...
Michael,Here we go! Here we go! On our way!
Ryan,Her America's Got Talent finale party over the summer. That's crazy. It was packed. I thought everyone was there. You were there. I remember you being there.
Andy,Partay. Room 639.
Dwight,"I’m barren, Jim."
Jim,"Or it could be a half hour, if you need it to be... Can we get a late checkout? I don't... I don't think she heard me."
Michael,"Let's hear an opening bid, everybody. Who's first? Kevin do your taxes. He's the tax man. Kevin the tax man."
Kevin,Wag.
Jim,"Oh my God, oh my God, Karen is back!"
Michael,"Oh, no big deal. Really. Sorry again."
Dwight,All we can do is sit and wait.
Andy,Good stuff. Nice stuff. Damn it! Screw you dad! ..ah.
Erin,Oh my God.
Michael,"I'm creative, Ryan."
Dwight,"Oh, oh, can I be the first mate?"
Dwight,"Can we at least eliminate those that are not in the running? Free them up to focus more completely on the menial. Like stacking or sorting, or-"
Pam,"Wow, there are, there are questions to that. Okay. Um, you know what, no questions. Last item on the agenda, Toby would like to make an announcement."
Dwight,Aha! A lightbulb.
Ryan,Let’s get a drink.
Michael,
Oscar,Five years?
Angela,They're Sugarplum fairy wands.
Jim,Oh yeah?
Michael,I wish the windows weren't tinted so people could see us in here.
Dwight,You wanted to see me?
Jim,What are you doing?
Dwight,Jim was lying about jury duty. He was lying the whole time so he could go do yoga or go canoeing. I don’t know what this pervert likes. Fire him!
Michael,You're welcome.
Andy,Well you're gonna have to. Dwight: We'll be right beside you.
Ryan,I did.
Michael,"Chuck E. Cheese? Oh, God, I’m so sick of Chuck E. Cheese."
Pam,"Umm, yearbook!"
Oscar,Can we see that? Did you really find it?
Jim,Do ya?
Dwight,"Ah, mmm. So good. Now take a chip, crush it into my face, really rub the grease around. Do it. Now rub it in. Oh, yeah, that’s so good. Ah…"
Pam,That's cool.
Michael,"No. No, Toby. He's not. Yes he is. He's my nephew."
Pam,Thank you.
Michael,And I was about to take her bra off...
Oscar,"I don’t think he meant, that–"
Darryl,What's something you really care about?
Jim,Then let’s just not do this. Do you have any idea the risks involved?
Michael,Well it can wait. It can wait.
Michael,"OK, use your imaginations."
Dwight,I'm gonna with the python.
Michael,"Well, could you condense it please?"
Dwight,Rocka doopa deepa do POW! Shacka do DO! Oh! What's Dwight up to? Oh probably nothing. Racka do do dee do-do do-do! Sha-KA!
Michael,"We are getting there folks. Slow and steady. Well, well, have we been blessed today. Ladies and gentlemen, Mr. David Wallace! Whoo!"
Andy,"Yeah. I lo- I love her. Is this what love is? This, like, horrible feeling in my stomach?"
Jim,I am not surprised that Dwight's using my baby to steal my desk. I'm a little surprised that it's working.
Michael,"You know what? Let's get right down to it. Dunder-Mifflin may be just two rooms and a warehouse, but what we lack in flash, we will make up for with hardwork and decency."
Creed,Not cool man.
Michael,So... it wasn't Dwight after all. Looks like I am the killer. You never expect that you're the killer... it's uh... great twist. Great twist.
Jim,This came out really well. There you go.
Pam,You got a second?
Oscar,It's pandering. And it makes me think you think I'm stupid.
Andy,I can do a better one.
Michael,We think a lot alike. Sometimes you will think something and I will say what you're thinking--
Dwight,I will know.
Andy,And remember: Do not attempt to extinguish a chemical fire with water. You will only exacerbate the flame. The dangerous flame.
Michael,"Per mile, yes."
Kevin,"Your mama mighta said that bullfrogs are dogs, but I'm here to tell you that I am a frog! Come and sit on my log, you little pollywog."
Angela,He is fiercely intelligent.
Michael,You have no clue why I've asked you in here?
Pam,Yeah!
Andy,"No, not like that, as a woman. W-O-M-A-N."
Kelly,"Oh, Professor Damien D. Duck, Jim gave him to me."
Michael,"All right, now, you're the expert. Is this enough to get 20 people plastered?"
Dwight,Oh√Ę‚ā¨¬¶ really.
Pam,What?
Andy,"No, that's ridiculous."
Andy,"Invest in softer cotton, sir. OW! Oh! Oooh! oh, whoa!!"
Michael,"Um, that’s, how did you get that from what Oscar’s saying?"
Andy,"Alright everybody, great season of softball, I’m super proud of you guys and I think you’re gonna like this little highlight reel that I put together."
Pam,"Luke, this is your father. Come set the table for dinner."
Jim,Do they call you that?
Jim,Hey! What the hell's goin' on?
Oscar,There’s no theater in that.
Pam,... still burned in my eyes.
Dwight,The coffee in Paraguay is colder?
Michael,Okay.
Dwight,But you’re the one who picked today.
Meredith,Boo.
Michael,"That's... Hold it, hold it, hold it. Start, like, right in there. Just dig."
Andy,You're exactly right and you get a point.
Ryan,Well here's what I've been doing around here. It's for a series on exposure in the workplace.
Pam,Yeah.
Kevin,"Hey Pam, I really like your glasses."
Phyllis,"Michael, what am I supposed to tell my clients if they ask about you?"
Andy,Damn it!
Pam,Erin.
Toby,"Uh, you know what, I can go park it myself."
Andy,Can you go over those options again?
Erin,Of course.
Phyllis,I need you to put the Christmas tree back up.
Michael,Okay.
Andy,That's it!
Michael,"All right, Pamela. Come on down! Let's do it! And ... okay. Just one complaint. Actually, it has been withdrawn. So that is no help to us. Next."
Pam,Bye.
Andy,Right?
Dwight,"Hey, everybody. Uh, coffee order is going around — on me. Just sign your name below."
Kevin,"Jo, there’s books in my chair."
Michael,All right.
Andy,"Yeah, right, c'mon! C'mon!"
Angela,"Ok, it’s obvious Andy picked the people that are least important to the office."
Dwight,Yes I do. I should have done it weeks ago actually.
Pam,Yes!
Michael,"Here’s a question for you. I have a convertible. Is it safe that park that in my driveway. All right. See you soon. Good guy. Um, cool."
Kelly,I knew it. I knew it. I knew it. Ryan lies to me and says he has a whole Jewish holiday for an entire month…..
Kevin,This is where we go
Dwight,Do you think? Or do you know?
Jim,"How about this one - 'When arrogant salesmen are mean to my face, a certain manager will go to his moppy place.'"
Creed,Thanks. I never owned a refrigerator.
Michael,Goodnight!
Jim,Nope.
Pam,What? I'm not in love with her.
Erin,"Oh, thanks. I’ve been re-using the hot dog water so it gets more flavor. It’s only going to keep getting better."
Michael,OK.
Dwight,"I'm now going to read out loud your submitted medical conditions. When you hear yours read, please raise your hand to indicate that it is real. If you do not raise your hand, it will not be covered."
Michael,That's perfect.
Andy,Wait up. Where are you going? Do you want me to come with?
Dwight,Gabe? You don’t know?
Dwight,Gaaaaa....
Toby,Tough? I put an innocent man on death row.
Oscar,"…Lord of the Rings trilogy, if you see it back to back, it’s really long. But it’s good."
Dwight,What kind of cake do you want imbecile.
Ryan,"I’ll have a glass of your oakiest chardonnay, please."
Jim,I'm not going to Utica right now.
Erin,So some of us ended up adopting those elderly dogs. It’s been great!
Pam,Thank you.
Oscar,Right? Mm. Did we try printer first? Shredder at an angle –
Jim,I really wish I could help. I’m not really sure how I can…
Andy,"I'm petrified of nipple chafing. Once it starts it is a vicious circle. If you have sensitive nipples, they chafe, so they become more sensitive, so they chafe more. So... I take precautions."
Michael,Toga!
Dwight,Aaaagh! Uggggh! How do you like that?
Michael,"Nobody should have to go to work thinking, ""Oh, this is the place that I might die today."" That's what a hospital is for. An office is for not dying. An office is a place to live life to the fullest, to the max, to... An office is a place where dreams come true."
Kelly,"I mean, how many times to I have to confirm with Ryan for him to know that we have a date tonight?"
Andy,8pm sharp.
Jim,"You making this up as you go along, aren't you?"
Michael,"Ah, thank you sir."
Michael,Ignorance.
Kevin,As has Kevin!
Pam,"Yeah, it was great because it was like you're supposed to be working, but nothing ever gets done."
Jim,What if we went all the way up to five hundred points?
Michael,Hello hello. Top of the morning to you! Ooh ooh! Green M&Ms! Nature's Viagra! Two of my favorite joke areas combined. It'll be a good day.
Creed,Hey! What are you guys doing here?
Jim,Really? Not Slytherin?
Dwight,Huh?
Dwight,"Jim, not now! We need to cushion her head. Lie still. Please, Pam. Do not move."
Andy,We called Angela?
Jim,You look great.
Pam,I don't know.
Pam,But have you ever actually seen him yourself?
Andy,Dammit!
Michael,"Hello son. If you're watching this, that means I'm already dead. Life is a road---"
Jim,No...
Jim,Oh…
Dwight,"Okay, okay. That’s enough."
Michael,It… folds up. You’ve only seen it flat.
Phyllis,No way.
Michael,"Yeah, I think that's pretty boss."
Michael,Ener-gize...
Toby,Anyone can follow a Twitter feed. Wanna share a cab?
Andy,Really?
Dwight,"My idea. I just need Andy to think it’s his idea. So it won’t get traced back to me. In approximately six hours, Jim will get a phone call from David Wallace. He will be fired."
Jim,Prove it.
Michael,"Go in together, could save some gas, have some fun, long trip."
Michael,You're right. What do you mean though?
Pam,"Oh, can we stop by that pie stand on the way?"
Erin,She wandered off like an idiot.
Pam,"You did good, Dwight. ItĂ˘â‚¬â„˘s okay. I mean, seriously, JanĂ˘â‚¬â„˘s not normal. LetĂ˘â‚¬â„˘s just go. SheĂ˘â‚¬â„˘s not going to sell to us."
Michael,"No, no. That's too hard. Say your name is Zamboni and then I will say, 'Well, we're sort of on thin ice.' I won't say that. I'll something like that."
Andy,I… don’t know. Help me.
Dwight,Woo-hoo.
Michael,"Oh, yes Stanley. Come on. Your turn, you have to go."
Andy,They don't know how.
Dwight,Yeah...
Andy,"Go, go, go, go, go!!"
Pam,"You know, Angela, you don't have to come to the wedding."
Phyllis,Cookies?
Oscar,"Maybe you're right, who are we to..."
Jim,Pam.
Dwight,Where are gay mens' vaginas?
Dwight,"No, it was not. Was it the second-most northern?"
Michael,What? What? We did?
Andy,"Yeah, but if you donated my computer to Africa, it would become world famous as the slowest computer in Africa. So…"
Michael,That’s good.
Erin,Remember that Halloween party you took me to once? The one where I started crying as soon as I walked in and I didn't stop crying?
Darryl,I say we have a parade.
Pam,"Yeah, he is."
Stanley,"Okay, you need to stop that right now."
Kelly,No. I'm gonna count to 3.
Erin,Here-
Oscar,I don't know what you're talking about.
Toby,Um... nothing comes to mind.
Pam,Somebody defaced the billboards we just put out in an inappropriate way.
Michael,"Hey, that's good."
Angela,"Kevin, maybe I should handle that. We really need you to focus on your project."
Dwight,"Wow! This brings back memories. Hay stacking, hay throwing... and at the end of it all, one lucky boy would be crowned Hay King. I always wanted to be Hay King. The world shines on Mose."
Kelly,"No, it’s Lamar Odom. If it’d been Ron Artest, it would have come up in Dancing with the Stars, when they pan over his trophy case when he’s at home with his family. Lamar winning Sixth Man was a big storyline on Chloe and Lamar."
Jim,That is not the expression.
Michael,"Oh, good."
Kevin,"Angela, are you bringing you new boyfriend to the party."
Angela,My worst breakup was actually two breakups. Two different men. I was in love with both of them and when things went bad they had a duel over me.
Michael,"All right, I'll be right back."
Darryl,127 hours. It’s about this guy who-
Michael,"Oh, come on. We are laughing at Phyllis, but she's not even here, so no harm, no foul."
Kevin,I know…
Dwight,That is not in the contract.
Michael,"So that is how it ends. My last Dundies ever. I was hoping it’d be more like Godfather Three. That rapped up the whole franchise in an extremely satisfying way. But instead it is like Godfather One! That was, very confusing, had maybe three big laughs. Oh well…"
Creed,Wesley SilverĂ˘â‚¬â„˘s gay?
Michael,"I'm not really sick. Nah, I'm good."
Jim,Penny for your thoughts.
Pam,"No, no, he's right."
Dwight,You guys should use a hand truck.
Andy,"And you know what? I am here for you. Let me be your traveling pants. Ah, what'd you do that for?"
Pam,"No, no, no, “Tracks of My Tears” and what else? What are some more? What’s one more?"
Michael,"I love you guys, so much."
Michael,"Ronnie was bleh. Things were at an all time sad here. But then I got an e-mail from Ryan, that he was coming back to town. And I called the temp agency and I told them I will pay you any amount, just give me Ryan Howard. Give him to me. I want him. I need him."
Jim,"No, I’d probably buy a big piece of land in Maine, build a house, work in town. Somewhere I could bike to or kayak to. I’d either bike to my job at the kayak shop or kayak to my job at the bike shop."
Pam,"No, thank you."
Andy,Oooohhh.
Jim,Why?
Pam,I'm not making any copies.
Stanley,What's happening?
Oscar,"That's the thing about debating, you're just going to get people more entrenched in the view they had in the first place."
Michael,"David, here it is. My philosophy is basically this. And this is something that I live by. And I always have. And I always will. Don't ever, for any reason, do anything to anyone, for any reason, ever, no matter what. No matter... where. Or who, or who you are with, or, or where you are going, or... or where you've been... ever. For any reason, whatsoever."
Dwight,This place has gone to hell.
Erin,Probably from seeing that turkey.
Jim,"Well, the joke was on you."
Andy,OK?
Michael,"That was Packer! Oh, you’re… you are dead. You are dead, my friend! That is hilar… Oh, God! Of course it was you."
Dwight,Have you been introduced to Kevin?
Michael,Previously on Varsity Blues...
